word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
coffee,1850,0,2976,1,3.3236,False,"lonic ea fah ,d_ corn market, april 1. not much ‘h wheat fresh up, arrivals having generally gone di._ .to millers. trade steady at mon- day's currency. fair receipts of foreign, and holders firm at l"
coffee,1850,0,2976,2,3.3678,False,"london tallow returns, august 3. stock, 13.432 casks against 12,20.5; deliveries, 1,489 against 1,868 casks last year. liverpool cotton market, august 3. sales 6,000 bales • 1,000 on speculation and f"
coffee,1850,0,2976,3,3.3692,False,"the melbourne markets. we have received, pet. garibo-ro—u-g—h,-;comnsercial letter from messrs 'n': murray ross & co., commission merchants, cf. 99, flinders street, west wharf, mel- brr""., dated july"
coffee,1850,0,2976,4,3.3853,False,.-this day. the week's arrival of foreign wheat and oats have bees large; the supply of english this morning from ram and rent was small. the trade was not brisk at the rates of monday last. some few 
coffee,1850,0,2976,5,3.3937,False,"them was a good demand for money in lombard- street this afternoon, assisted by the call which fell due this day on the shares and debentures of 11.. e grand trunk railway of canada. now that the engl"
coffee,1850,0,2976,6,3.4489,False,"london. the following public &ales are declared for to-morrow suga, 300 hhds of barbadoes, 2,500 bags mauritias; and 1,000 bags beng.ll; rice, 300 bags of madras pepper, 650 bags lac dye, 250 chests. "
coffee,1850,0,2976,7,3.4515,False,"boom ,disney market and city news. railways. share' ipaid. city, two o'clock. the markets for foreign and colonial produce, du wring the last few days, have been rather inactive. t 27.10 amberg., nott"
coffee,1850,0,2976,8,3.4828,False,"the iiiiverpool standard. otpress news. by electric telegraph, loichon, munday night. no commercial news. or importance. at hamburgh, on the 20th, exchano on london was 13 24-, being i lower. pari3, s"
coffee,1850,0,2976,9,3.5008,False,"ommercia l the last price of consols on saturday was 881 f. the business generally was quiet, and no alieration in the rates for money either at the stock exchange or dis- count market. ia paris on sa"
coffee,1850,0,2976,10,3.502,False,"city: two o'clecit. the markets for foreign and colosbial produce ..4..0 ant berg., noting. dom..st during the last few days have exhibited very little 50 !?.:171(t:,t'aan'':1""bali t'-`rn9 enman anima"
coffee,1850,0,2976,11,3.5106,False,"total called i clown melba of iva 1t1,426.137 the screw steam yacht fox, which recently returned from the arctic regions, is advertised for public sale at lloyds on the 10th of november. she was built"
coffee,1850,0,2976,12,3.5424,False,"cowpox corn mankrt, bre. small show of english wheat. foreign trade opened steady, and fall price, realised. for both elighsli au.' foreign. -taken at mondar's advance. retail;a-les 4 and pease at ful"
coffee,1850,0,2976,13,3.5479,False,"liverpool cattle market,-sept. 7. we had to-day 2,756 beasts a, d 12,872 sheep, being a consilerable irorease on last weeks supply. the demand for the best qualities of beef and mu ton was pool, and s"
coffee,1850,0,2976,14,3.5514,False,"commercial on saturday there was still a full demand in the dis- count market, but no inconvenient pressure. the £bb,ooo of australian gold brought hr the wail steamer etna was delivered on saturday, "
coffee,1850,0,2976,15,3.5516,False,"the sun, london, friday evening, may 12. 1854. al give y sea it ke t a 00.31:11/1!/z17.4 l n ,""1"". city, two o'clock, the sales of cotton at liverpool yesterday were estimated at 7,000 bales, includin"
coffee,1850,0,2976,16,3.5562,False,"al oney and commercial news. city, two o'cloarc. the sales of cotton at live :pool yesterday were, estimated at 5,000 bales, of which 1,000 american were taken on speculation. the market closed heavil"
coffee,1850,0,2976,17,3.5565,False,"flour, 150 brls. united states—wheat, 5,406 qrs indian corn, 4,281 rqrs flour, 5,058 brls. europe, &c.—beans, 22 qrs indian corn, 500 qrs. total—wheat, 5 680 qrs; barley, 12 qrs malt, 550 qrs oats, 1,"
coffee,1850,0,2976,18,3.5653,False,"oney marxet coi4i''zp.c.!ial taalr.lst-'igenc. :';:: the liverpool cotton market yesterday closed steadily, and a moderate business doing, without any change in prices. the sales were estimated at 7,0"
coffee,1850,0,2976,19,3.5783,False,"shipping. new-york, feb 6.—cleared: new-york (s.), glas- gow; clyde (s.), glasgow; africa (s.), liverpool, with passengers. jan. 26, when one day ont, signalised steamship niagara, bound in. glance, g"
coffee,1850,0,2976,20,3.5811,False,"commercial news. rio de janeiro, april 13.—the exchange has ex- perienced considerable fluctuation since date of our last circular, 13th ult. the rate opened at 27, and after having advanced to 27i an"
