word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
coffee,1840,0,854,1,5.2308,True,"...savory and sons, manufacturing silversmith, no. 14, cornhill, london, opposite the bank of england. submit the prices of the following silver tea and coffee services. the co"
coffee,1840,0,854,2,5.5402,False,"patent electro silver, argentine, nickle, british plate, best sheffield cutlery, and re-plating warehouse. p i-land's, 55, seel-street, two doors from berry-street. dinner forks and spoons from 6s. ba"
coffee,1840,0,854,3,5.5734,False,"silver tea services. b. savory and sons, manufacturing i silversmiths, 14, cornhill, london, opposite the bank of e) agland, submit the prices of the following silver tea and c• dffee services. the co"
coffee,1840,0,854,4,5.6754,True,"... savory and sons, manufacturing • silversmiths, 14, cornhill, london, opposite the bank of england, submit the prices of the following silver tea and coffee services. the cotta"
coffee,1840,0,854,5,5.7482,True,"... savory and sons, manufacturing a silversmiths, 14, cornhill, london, opposite the bank of england, submit the prices of the following silver tea and coffee services. the cottag"
coffee,1840,0,854,6,5.8148,True,"...b. savory and sons, manufacturing silversmiths, 14, cornhill, london, opposite the bank of england, submit the prices of the following silver tea and coffee services. the cottage"
coffee,1840,0,854,7,5.8344,False,"malt liquors. tthe subscriber takes the liberty of intimating that be can, at all times, supply messrs. reid & co.'s and messrs. bar- clay & co.'s london porter, in first-rate condition— mild, bright,"
coffee,1840,0,854,8,5.8704,False,"ofz, 4 ajil.ol44t.o2t} e/w e6yi 14cax/./ fz7 money. those who buy in the best and the cheapest mar+ bets save a large amount of the above. h dzen. patent electro-silver dinner forks and spoonsaif- 140"
coffee,1840,0,854,9,5.8814,False,"jan. 30, 1849. .alt.e)' by 2tirtion. isale of silver plate, plated articles' china, books, 6.c. by messrs. trotter and kirby, to-mounow, (wednesday,) the 31st instant, at two k 0 w the afternoon, at t"
coffee,1840,0,854,10,5.9013,True,"glasgow grate., laundry genuine i wrapper and as a wholesale is .the silver pla:ti consists and batter spoons, table and i. tongs, silver waiters, coffee pot d knives and forks, plated wait tea and co"
coffee,1840,0,854,11,5.9013,False,"silver tea services. b. savory and sons, manufacturing i silversmiths, 14, cornhill, london, opposite the bank of e) agland, submit the prices of the following silver tea and c• dffee services. the co"
coffee,1840,0,854,12,5.9056,False,"country orders executed with the strictest punctuality. 1l ver tea services.-a. b. savory kj and suns, manufacturing silversmith, no. 14, cornhill. london, opposite the bank of england, submit the pri"
coffee,1840,0,854,13,5.9256,True,"...ry 1.7 and suns, manufacturing silversmith, no. 14t.cornhill, london, opposite the bank of england, submit the prices of the following silver tea and coffee services. the"
coffee,1840,0,854,14,5.9396,True,"... savory and sons, manufacturing a silversmiths, 14, cornhill, london, opposite the bank of england, submit the prices of the following silver tea and coffee services. the cottag"
coffee,1840,0,854,15,5.9935,False,"to economists on sale, in twelve-pound boxes, at 3s. 74d. per pound, a large quantity of rich full-flavoured congou tea, of this season's import. samples may be had by applying at the liverpool centra"
coffee,1840,0,854,16,5.9995,False,"sheffield plate, m. horton and co., late avery, nt....a • 36, ludgate-street, st. paul's, now offer to the public their stock of superior genuine sii effield plate at the manufacturers' prices, subjec"
coffee,1840,0,854,17,6.0227,True,"... savory and sons, manufacturing • silversmiths, 14, cornhill, london, opposite the bank of england, submit the prices of the following silver tea and coffee services. the cotta"
coffee,1840,0,854,18,6.0382,True,"in berbice vor sale, in the beginning of,april, the fine coffee if estate, bloemiioff,"" situated on the east side of the river berbice, in excelle condition, with 104,694 coffee trees, in full bearing"
coffee,1840,0,854,19,6.0402,False,"every explanation given respecting the true character, of patent electro, argantine, nickle, and british plate, at f. ha n d's, 55, seelstreet, two doors from berry-street. the newest patterns in tea "
coffee,1840,0,854,20,6.0587,False,m 0 n e y. those who buy in the best and the cheapest mar- kets save a large amount of the above. half-dozen. patent electro-silver dinner forks and spoons 14s. best nickle ditto ditto 6s. teaspoons i
coffee,1840,0,854,21,6.0942,False,"richard bentley, new burlington-street, silver tea services. ab. savory and sons, manufacturing • silversmiths, 14, cornhill, london, opposite the bank of england, submit the prices of the following s"
coffee,1840,0,854,22,6.0956,False,"mawr gym, meticititetnn...— oar manchester readers will perceive that their respected townsman, mr. king, of the bush inn, has announced a derby sweep"" to be drawn shortly at his establishment. no dou"
